target_base_id,source_base_id,status,name
30000,71000,remapped,黑色雷普亞克髮型
30010,71010,remapped,黑色阿尼瑪蓮髮型
30020,71020,remapped,黑色阿尼瑪菈菈髮型
30030,71030,remapped,黑色阿尼瑪虎影髮型
30040,71040,remapped,黑色內層染色的鮑伯頭髮型
30050,71050,remapped,黑色俏皮甜糖髮型
30060,71060,remapped,黑色馬尾泡泡髮型
30070,71070,remapped,黑色露安娜髮型
30080,71080,remapped,黑色派對客人髮型
30090,71090,remapped,黑色夕霞漸層髮型
30100,71100,remapped,黑色泡芙髮型
30110,71110,remapped,黑色貓長波浪髮型
30120,71120,remapped,黑色彩虹gelato髮型
30130,71130,remapped,黑色溫暖辮子髮型
30140,71140,remapped,黑色絲滑雙馬尾髮型
30150,71150,remapped,黑色絲滑雙蝴蝶結髮型
30160,71160,remapped,黑色棉花髮型
30170,71170,remapped,黑色艾琳髮型
30180,71180,remapped,黑色迷霧艾琳髮型
30190,71190,remapped,黑色夜晚艾琳髮型
30200,71200,remapped,黑色小夜曲髮型
30210,71290,remapped,黑色頑皮貓咪髮型
30220,71300,remapped,黑色可愛側捲髮型
30230,71330,remapped,黑色陰陽師髮型
30240,71340,remapped,黑色劍豪髮型
30250,71350,remapped,黑色墨玄髮型
30260,71360,remapped,黑色琳恩髮型
30270,71380,remapped,검은색 살짝 넘겼어 헤어
30280,71390,remapped,검은색 물든 당고 헤어
30290,30290,unchanged,黑色紳士造型
30300,30300,unchanged,黑色齊眉自然造型
30310,30310,unchanged,黑色西瓜皮造型
30320,30320,unchanged,黑色黑人微捲造型
30330,30330,unchanged,黑色中長柔順造型
30340,30340,unchanged,黑色酷帥長髮造型
30350,30350,unchanged,黑色狂野造型
30360,30360,unchanged,黑色鳳梨造型
30370,30370,unchanged,黑色飛行員捲造型
30400,30400,unchanged,黑色瓦片頭造型
30410,30410,unchanged,黑色順風微捲造型
30420,30420,unchanged,黑色東方俠客造型
30440,30440,unchanged,黑色狂野奔放造型
30450,30450,unchanged,黑色飄逸柔順造型
30460,30460,unchanged,黑色旋風捲造型
30470,30470,unchanged,黑色天然短捲造型
30480,30480,unchanged,黑色時髦順髮造型
30490,30490,unchanged,黑色運動短髮造型
30510,30510,unchanged,黑色捲翹瀏海造型
30520,30520,unchanged,黑色特斯頭造型
30530,30530,unchanged,黑色高額頭造型
30540,30540,unchanged,黑色陰陽道造型
30550,30550,unchanged,黑色滿清髮辮造型
30560,30560,unchanged,黑色超酷台式造型
30570,30570,unchanged,黑色都會雅痞造型
30580,30580,unchanged,黑色飛機捲造型
30590,30590,unchanged,黑色儒雅短捲造型
30600,30600,unchanged,黑色復古油頭造型
30610,30610,unchanged,黑色尖刺龐克造型
30620,30620,unchanged,黑色日本武士造型
30630,30630,unchanged,黑色蓬鬆散羽造型
30640,30640,unchanged,黑色校園學生造型
30650,30650,unchanged,黑色運動男孩造型
30660,30660,unchanged,黑色酷帥短髮造型
30670,30670,unchanged,黑色棒棒男孩造型
30680,30680,unchanged,黑色花苞造型
30700,30700,unchanged,黑色海藻捲造型
30710,30710,unchanged,黑色阿福羅造型
30720,30720,unchanged,黑色觸鬚挑染造型
30730,30730,unchanged,黑色迎風飄逸造型
30740,30740,unchanged,黑色光頭造型
30750,30750,unchanged,黑色和尚頭造型
30760,30760,unchanged,黑色馬桶蓋造型
30770,30770,unchanged,黑色羅馬捲造型
30790,30790,unchanged,黑色獅子短鬃造型
30800,30800,unchanged,黑色迎風飄揚造型
30810,30810,unchanged,黑色火爆浪子造型
30820,30820,unchanged,黑色偶像小生造型
30830,30830,unchanged,黑色亞里斯造型
30840,30840,unchanged,黑色朱里昂造型
30850,30850,unchanged,黑色玉米鬚造型
30860,30860,unchanged,黑色走秀造型
30870,30870,unchanged,黑色街頭雅痞造型
30880,30880,unchanged,黑色時尚瀏海造型
30890,30890,unchanged,黑色帥氣大捲造型
30900,30900,unchanged,黑色羅維茲造型
30910,30910,unchanged,黑色短小捲造型
30920,30920,unchanged,黑色陽光小尾造型
30930,30930,unchanged,黑色瀏海型捲造型
30940,30940,unchanged,黑色動力髮型
30950,30950,unchanged,黑色波浪劉海造型
30990,30990,unchanged,黑色雷鬼造型
31000,31000,unchanged,黑色基本冒險造型
31010,31010,unchanged,黑色短捲中分造型
31020,31020,unchanged,黑色大波浪捲造型
31030,31030,unchanged,黑色俏妞髮辮造型
31040,31040,unchanged,黑色狂野冒險造型
31050,31050,unchanged,黑色長髮中分造型
31060,31060,unchanged,黑色髮尾上翹造型
31070,31070,unchanged,黑色小爆炸頭造型
31080,31080,unchanged,黑色半屏劉海造型
31090,31090,unchanged,黑色大馬尾造型
31100,31100,unchanged,黑色小花髮圈造型
31110,31110,unchanged,黑色波浪馬尾造型
31120,31120,unchanged,黑色清新小紮造型
31130,31130,unchanged,黑色短雙馬尾造型
31140,31140,unchanged,黑色傳統蒼龍造型
31150,31150,unchanged,黑色挑染長髮造型
31160,31160,unchanged,黑色青春小髻造型
31170,31170,unchanged,黑色黑人運動造型
31180,31180,unchanged,黑色澎雙馬尾造型
31190,31190,unchanged,黑色直捲燙造型
31200,31200,unchanged,黑色小可愛造型
31210,31210,unchanged,黑色齊瀏海造型
31220,31220,unchanged,黑色瀏海半遮造型
31230,31230,unchanged,黑色俏麗捲辮造型
31240,31240,unchanged,黑色披頭散髮造型
31250,31250,unchanged,黑色娃娃造型
31260,31260,unchanged,黑色俏佳人造型
31270,31270,unchanged,黑色妞妞造型
31280,31280,unchanged,黑色短髮打薄造型
31290,31290,unchanged,黑色活潑短髮造型
31300,31300,unchanged,黑色細辮雙包造型
31310,31310,unchanged,黑色齊眉波浪造型
31320,31320,unchanged,黑色飛散龐克造型
31330,31330,unchanged,黑色濃密直髮造型
31340,31340,unchanged,黑色層次短剪造型
31350,31350,unchanged,黑色四葉造型
31360,31360,unchanged,黑色蓬鬆束髮造型
31370,31370,unchanged,黑色浪漫編織造型
31400,31400,unchanged,黑色中性短髮造型
31410,31410,unchanged,黑色野性長髮造型
31420,31420,unchanged,黑色優雅中分造型
31440,31440,unchanged,黑色露琪亞造型
31450,31450,unchanged,黑色甜心雙尾造型
31460,31460,unchanged,黑色洋蔥短剪造型
31470,31470,unchanged,黑色中國女孩造型
31480,31480,unchanged,黑色波浪髮尾造型
31490,31490,unchanged,黑色隨意盤髮造型
31510,31510,unchanged,黑色繡球髮髻造型
31520,31520,unchanged,黑色海草燙捲造型
31530,31530,unchanged,黑色潔西卡造型
31540,31540,unchanged,黑色長羽毛剪造型
31550,31550,unchanged,黑色傳統華麗造型
31560,31560,unchanged,黑色尾端挑染造型
31570,31570,unchanged,黑色文藝燙捲造型
31580,31580,unchanged,黑色維特利安造型
31590,31590,unchanged,黑色捲髮盤起造型
31600,31600,unchanged,黑色修道之人造型
31610,31610,unchanged,黑色瑞迪亞造型
31620,31620,unchanged,黑色大花苞造型
31630,31630,unchanged,黑色俐落盤髮造型
31640,31640,unchanged,黑色迎風柔順造型
31650,31650,unchanged,黑色流線馬尾造型
31660,31660,unchanged,发型 31660
31670,31670,unchanged,黑色英式盤頭造型
31680,31680,unchanged,黑色長髮娃娃造型
31690,31690,unchanged,黑色海藻燙捲造型
31700,31700,unchanged,黑色螃蟹小紮造型
31710,31710,unchanged,黑色雙結羽毛造型
31720,31720,unchanged,黑色俏麗挑染造型
31730,31730,unchanged,黑色竹葉瀏海造型
31740,31740,unchanged,黑色甜蜜尾捲造型
31750,31750,unchanged,黑色鬃毛微捲造型
31760,31760,unchanged,黑色雙長馬尾造型
31770,31770,unchanged,黑色自然短髮造型
31780,31780,unchanged,黑色逆風飄揚造型
31790,31790,unchanged,黑色復古時尚造型
31800,31800,unchanged,黑色尾捲髮束造型
31810,31810,unchanged,黑色蘋果短髮造型
31820,31820,unchanged,黑色格萊熙造型
31830,31830,unchanged,黑色學生挑染造型
31840,31840,unchanged,黑色不良少女造型
