file_id,item_id,type,name,reqJob,reqLevel,incMAD,incPAD,limitBreak,cash,path
01372000,1372000,短杖/Wand,妖精短杖,2,38,53,33,2147483647,0,gms-server/wz/Character.wz/Weapon/01372000.img.xml
01372001,1372001,短杖/Wand,法师短杖,2,33,48,30,2147483647,0,gms-server/wz/Character.wz/Weapon/01372001.img.xml
01372002,1372002,短杖/Wand,金属短杖,2,18,33,21,2147483647,0,gms-server/wz/Character.wz/Weapon/01372002.img.xml
01372003,1372003,短杖/Wand,锂矿短杖,2,28,43,27,2147483647,0,gms-server/wz/Character.wz/Weapon/01372003.img.xml
01372004,1372004,短杖/Wand,冰精短杖,2,23,38,24,2147483647,0,gms-server/wz/Character.wz/Weapon/01372004.img.xml
01372005,1372005,短杖/Wand,木制短杖,0,8,23,15,2147483647,0,gms-server/wz/Character.wz/Weapon/01372005.img.xml
01372006,1372006,短杖/Wand,高级木制短杖,0,13,28,18,2147483647,0,gms-server/wz/Character.wz/Weapon/01372006.img.xml
01372007,1372007,短杖/Wand,大魔法师短杖,2,48,63,39,2147483647,0,gms-server/wz/Character.wz/Weapon/01372007.img.xml
01372008,1372008,短杖/Wand,红日折扇,2,60,75,50,2147483647,0,gms-server/wz/Character.wz/Weapon/01372008.img.xml
01372009,1372009,短杖/Wand,慈悲为怀,2,88,103,63,2147483647,0,gms-server/wz/Character.wz/Weapon/01372009.img.xml
01372010,1372010,短杖/Wand,嗜魂法杖,2,98,113,69,2147483647,0,gms-server/wz/Character.wz/Weapon/01372010.img.xml
01372011,1372011,短杖/Wand,羽扇,2,50,66,41,2147483647,0,gms-server/wz/Character.wz/Weapon/01372011.img.xml
01372012,1372012,短杖/Wand,水晶短杖,2,38,53,33,2147483647,0,gms-server/wz/Character.wz/Weapon/01372012.img.xml
01372013,1372013,短杖/Wand,竹杖,2,10,27,26,2147483647,0,gms-server/wz/Character.wz/Weapon/01372013.img.xml
01372014,1372014,短杖/Wand,火焰之杖,2,58,73,45,2147483647,0,gms-server/wz/Character.wz/Weapon/01372014.img.xml
01372015,1372015,短杖/Wand,天使之翼,2,68,83,51,2147483647,0,gms-server/wz/Character.wz/Weapon/01372015.img.xml
01372016,1372016,短杖/Wand,凤凰短杖,2,78,93,57,2147483647,0,gms-server/wz/Character.wz/Weapon/01372016.img.xml
01372017,1372017,短杖/Wand,领路灯,0,41,56,38,2147483647,0,gms-server/wz/Character.wz/Weapon/01372017.img.xml
01372018,1372018,短杖/Wand,法师短杖,2,18,58,30,2147483647,0,gms-server/wz/Character.wz/Weapon/01372018.img.xml
01372019,1372019,短杖/Wand,大魔法师短杖,2,38,73,39,2147483647,0,gms-server/wz/Character.wz/Weapon/01372019.img.xml
01372020,1372020,短杖/Wand,火焰之杖,2,48,83,45,2147483647,0,gms-server/wz/Character.wz/Weapon/01372020.img.xml
01372021,1372021,短杖/Wand,天使之翼,2,58,93,51,2147483647,0,gms-server/wz/Character.wz/Weapon/01372021.img.xml
01372022,1372022,短杖/Wand,法师短杖,2,18,58,30,2147483647,0,gms-server/wz/Character.wz/Weapon/01372022.img.xml
01372023,1372023,短杖/Wand,大魔法师短杖,2,38,73,39,2147483647,0,gms-server/wz/Character.wz/Weapon/01372023.img.xml
01372024,1372024,短杖/Wand,火焰之杖,2,48,83,45,2147483647,0,gms-server/wz/Character.wz/Weapon/01372024.img.xml
01372025,1372025,短杖/Wand,天使之翼,2,58,93,51,2147483647,0,gms-server/wz/Character.wz/Weapon/01372025.img.xml
01372026,1372026,短杖/Wand,锂矿短杖,2,8,38,24,2147483647,0,gms-server/wz/Character.wz/Weapon/01372026.img.xml
01372027,1372027,短杖/Wand,法师短杖,2,18,48,30,2147483647,0,gms-server/wz/Character.wz/Weapon/01372027.img.xml
01372028,1372028,短杖/Wand,大魔法师短杖,2,38,63,39,2147483647,0,gms-server/wz/Character.wz/Weapon/01372028.img.xml
